                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.74602,                0.91031,                 1.1366,                 0.8664,                0.74943,                0.82362,                0.68356,                0.69073,                0.88686,                 1.1222,                0.00439,                0.00439,                0.00439
                     36,                0.73473,                0.90107,                 1.1294,                0.86502,                0.75978,                0.82557,                0.68344,                0.70263,                0.85863,                  1.122,               0.004225,               0.004225,               0.004225
                     37,                0.73827,                0.91206,                 1.1261,                0.89158,                0.78915,                 0.8553,                0.70856,                0.68239,                0.77668,                 1.1098,                0.00406,                0.00406,                0.00406
                     38,                0.72199,                0.89061,                 1.1151,                0.86587,                0.81066,                0.85693,                0.72359,                0.67991,                0.77847,                 1.1146,               0.003895,               0.003895,               0.003895
                     39,                0.70355,                0.86348,                 1.1088,                0.90675,                0.77558,                0.85084,                0.70831,                0.68912,                0.80846,                 1.1146,                0.00373,                0.00373,                0.00373
                     40,                0.70867,                0.85668,                 1.1158,                0.89072,                0.76504,                0.85377,                0.71327,                0.68229,                0.79643,                 1.1195,               0.003565,               0.003565,               0.003565
                     41,                0.70698,                0.84928,                 1.1083,                0.89973,                 0.7868,                0.86676,                0.72652,                 0.6754,                0.77122,                 1.1064,                 0.0034,                 0.0034,                 0.0034
                     42,                0.68714,                0.82246,                 1.0981,                0.89125,                0.76448,                0.85493,                0.71807,                0.65609,                0.77556,                 1.0929,               0.003235,               0.003235,               0.003235
                     43,                0.67749,                0.79995,                 1.0874,                0.90153,                 0.7709,                0.86144,                0.72612,                0.63491,                0.75143,                 1.0687,                0.00307,                0.00307,                0.00307
                     44,                0.67626,                0.78882,                 1.0967,                0.90931,                0.80575,                0.87308,                0.73932,                0.65102,                0.73497,                 1.0758,               0.002905,               0.002905,               0.002905
                     45,                0.67456,                0.79051,                 1.0892,                 0.9314,                 0.7749,                0.87152,                0.74255,                0.63498,                0.72585,                 1.0664,                0.00274,                0.00274,                0.00274
                     46,                0.66112,                0.77757,                 1.0848,                0.90338,                 0.8016,                0.87126,                0.73482,                0.64975,                0.73633,                 1.0837,               0.002575,               0.002575,               0.002575
                     47,                0.65725,                0.76531,                 1.0856,                0.87905,                0.79935,                0.85677,                0.72575,                0.65466,                0.78224,                 1.0893,                0.00241,                0.00241,                0.00241
                     48,                0.65005,                 0.7415,                 1.0767,                0.92775,                0.80681,                0.87102,                0.74022,                0.63125,                0.70752,                 1.0671,               0.002245,               0.002245,               0.002245
                     49,                0.64176,                0.72523,                 1.0739,                0.89548,                0.82076,                0.87872,                 0.7457,                0.63782,                0.71049,                  1.064,                0.00208,                0.00208,                0.00208
                     50,                0.50074,                 0.4749,                0.98989,                0.94295,                0.79827,                0.87508,                0.75441,                0.59219,                0.68629,                  1.033,               0.001915,               0.001915,               0.001915
                     51,                 0.4798,                 0.4427,                0.97017,                 0.8921,                0.84452,                 0.8792,                0.74923,                0.60868,                0.66152,                 1.0556,                0.00175,                0.00175,                0.00175
                     52,                0.47576,                0.43888,                0.96797,                0.91399,                0.81758,                0.87566,                0.75715,                0.60906,                 0.6972,                 1.0358,               0.001585,               0.001585,               0.001585
                     53,                0.45549,                0.41244,                0.95591,                0.91356,                0.83213,                0.88016,                0.76563,                0.59401,                0.66981,                 1.0324,                0.00142,                0.00142,                0.00142
                     54,                0.45356,                0.41929,                0.95728,                0.91297,                0.83521,                0.88511,                0.76975,                0.58659,                0.63584,                 1.0338,               0.001255,               0.001255,               0.001255
                     55,                0.43824,                0.39425,                0.94626,                0.91507,                0.83019,                0.88273,                0.76521,                0.59781,                0.65703,                 1.0366,                0.00109,                0.00109,                0.00109
                     56,                0.44624,                 0.3833,                0.95074,                0.95586,                 0.7989,                  0.885,                0.77053,                0.58407,                0.65067,                 1.0245,               0.000925,               0.000925,               0.000925
                     57,                0.42439,                0.37496,                0.94021,                0.93109,                0.81568,                0.88427,                0.77388,                0.57106,                0.64914,                 1.0119,                0.00076,                0.00076,                0.00076
                     58,                0.42585,                0.36979,                0.94495,                0.94533,                0.80532,                0.88386,                0.77051,                0.57577,                 0.6433,                 1.0138,               0.000595,               0.000595,               0.000595
                     59,                0.40185,                0.33848,                0.91887,                0.92683,                 0.8311,                0.88592,                0.77561,                 0.5849,                 0.6327,                 1.0263,                0.00043,                0.00043,                0.00043
